last_changed,aqi_sciosense,eco2,humidity,sound,temperature,tvoc,fteg,radar_sensor,occupancy
2024-12-13T17:49:34,158,1195,31.33,537.75,24.55,1264,110.34,4,5
2024-12-13T17:49:35,158,1195,31.35,471.6966667,24.52,1264,110.34,4,5
2024-12-13T17:49:36,162,1207,31.35,418.51,24.52,1301,106.66,4,5
2024-12-13T17:49:37,162,1207,31.33,714.878,24.52,1301,103.54,0,5
2024-12-13T17:49:38,163,1215,31.33,545.2675,24.52,1325,108.47,5,5
2024-12-13T17:49:39,163,1215,31.35,602.5976923,24.53,1325,109.65,5,5
2024-12-13T17:49:40,163,1215,31.35,545.6842857,24.53,1325,111.34,4,5
2024-12-13T17:49:41,163,1216,31.35,445.03625,24.53,1328,119.45,4,5
2024-12-13T17:49:42,160,1208,31.35,673.5386667,24.53,1304,127.88,4,5
2024-12-13T17:49:43,160,1208,31.35,610.1528571,24.53,1304,137.8,4,5
2024-12-13T17:49:44,160,1208,31.39,649.39,24.53,1304,138.92,4,5
2024-12-13T17:49:45,159,1206,31.39,536.2555556,24.53,1297,139.55,4,5
2024-12-13T17:49:46,159,1206,31.37,806.9355556,24.52,1297,145.41,0,5
2024-12-13T17:49:47,160,1209,31.37,577.0709091,24.52,1307,145.41,4,5
2024-12-13T17:49:48,160,1209,31.37,659.8188889,24.53,1307,142.17,4,5
2024-12-13T17:49:49,163,1218,31.37,479.7809091,24.53,1334,144.66,0,5
2024-12-13T17:49:50,163,1218,31.4,656.775,24.5,1334,141.26,5,5
2024-12-13T17:49:51,164,1222,31.4,527.759,24.5,1347,141.26,5,5
2024-12-13T17:49:52,164,1222,31.35,735.508,24.53,1347,138.92,5,5
2024-12-13T17:49:53,160,1213,31.35,544.682,24.53,1319,139.73,5,5
2024-12-13T17:49:54,160,1213,31.37,711.4614286,24.52,1319,146.22,0,5
2024-12-13T17:49:55,159,1211,31.37,523.809,24.52,1313,155.52,5,5
2024-12-13T17:49:56,159,1211,31.39,637.356,24.55,1313,160.89,5,5
2024-12-13T17:49:57,159,1211,31.39,411.1042857,24.55,1313,165.7,5,5
2024-12-13T17:49:58,156,1201,31.39,683.7372727,24.55,1282,168.69,5,5
2024-12-13T17:49:59,156,1201,31.41,669.8725,24.53,1282,175.74,5,5
2024-12-13T17:50:00,159,1207,31.41,754.48625,24.53,1301,180.49,5,5
2024-12-13T17:50:01,159,1207,31.39,592.065,24.53,1301,176.3,5,5
2024-12-13T17:50:02,159,1208,31.39,582.33375,24.53,1304,182.48,0,5
2024-12-13T17:50:03,159,1208,31.43,673.458,24.53,1304,182.48,5,5
